Iteration,Walker_Type,Walker_ID,Step,x0,x1
3,turtle,4,5,0,1
3,rabbit,5,5,1,3
3,turtle,0,6,0,2
3,turtle,1,6,0,2
3,turtle,2,6,1,1
3,turtle,3,6,3,3
3,turtle,4,6,0,0
4,turtle,0,1,2,1
4,turtle,1,1,0,1
4,turtle,2,1,1,0
4,turtle,3,1,0,1
4,turtle,4,1,0,1
4,rabbit,5,1,3,1
4,turtle,0,2,3,1
4,turtle,1,2,0,2
4,turtle,2,2,1,1
4,turtle,3,2,0,0
4,turtle,4,2,0,0
4,rabbit,5,2,3,3
4,turtle,0,3,2,1
4,turtle,1,3,0,1
4,turtle,2,3,0,1
4,turtle,3,3,0,1
4,turtle,4,3,1,0
4,rabbit,5,3,3,1
4,turtle,0,4,2,2
4,turtle,1,4,0,2
4,turtle,2,4,1,1
4,turtle,3,4,0,2
4,turtle,4,4,1,1
4,rabbit,5,4,1,1
4,turtle,0,5,2,3
4,turtle,1,5,0,1
4,turtle,2,5,2,1
4,turtle,3,5,0,1
4,turtle,4,5,1,0
4,rabbit,5,5,3,1
4,turtle,0,6,2,2
4,turtle,1,6,0,2
4,turtle,2,6,3,1
4,turtle,3,6,0,0
4,turtle,4,6,1,1
4,rabbit,5,6,3,3
4,turtle,0,7,2,1
4,turtle,1,7,0,1
4,turtle,2,7,2,1
4,turtle,3,7,0,1
4,turtle,4,7,2,1
4,rabbit,5,7,3,1
4,turtle,0,8,3,1
4,turtle,1,8,1,1
4,turtle,2,8,2,2
4,turtle,3,8,0,2
4,turtle,4,8,3,1
4,rabbit,5,8,3,3
4,turtle,0,9,2,1
4,turtle,1,9,1,0
4,turtle,2,9,1,2
4,turtle,3,9,0,1
4,turtle,4,9,2,1
4,rabbit,5,9,1,3
4,turtle,0,10,3,1
4,turtle,1,10,0,0
4,turtle,2,10,2,2
4,turtle,3,10,0,2
4,turtle,4,10,2,2
5,turtle,0,1,1,0
5,turtle,1,1,1,0
5,turtle,2,1,2,1
5,turtle,3,1,2,1
5,turtle,4,1,2,1
5,rabbit,5,1,3,1
5,turtle,0,2,2,0
5,turtle,1,2,0,0
5,turtle,2,2,2,2
5,turtle,3,2,1,1
5,turtle,4,2,3,1
5,rabbit,5,2,3,3
5,turtle,0,3,1,0
5,turtle,1,3,0,1
5,turtle,2,3,1,2
5,turtle,3,3,2,1
5,turtle,4,3,3,2
5,rabbit,5,3,1,3
5,turtle,0,4,0,0
5,turtle,1,4,0,2
5,turtle,2,4,2,2
5,turtle,3,4,1,1
5,turtle,4,4,2,2
6,turtle,0,1,0,1
6,turtle,1,1,0,1
6,turtle,2,1,0,1
6,turtle,3,1,0,1
6,turtle,4,1,2,1
6,rabbit,5,1,3,1
6,turtle,0,2,0,0
6,turtle,1,2,0,0
6,turtle,2,2,0,0
6,turtle,3,2,0,0
6,turtle,4,2,3,1
6,rabbit,5,2,1,1
6,turtle,0,3,0,1
6,turtle,1,3,0,1
6,turtle,2,3,0,1
6,turtle,3,3,0,1
6,turtle,4,3,3,2
6,rabbit,5,3,3,1
6,turtle,0,4,0,2
6,turtle,1,4,0,2
6,turtle,2,4,0,0
6,turtle,3,4,0,0
6,turtle,4,4,3,3
6,rabbit,5,4,1,1
6,turtle,0,5,0,1
6,turtle,1,5,0,1
6,turtle,2,5,0,1
6,turtle,3,5,1,0
6,turtle,4,5,2,3
6,rabbit,5,5,3,1
6,turtle,0,6,1,1
6,turtle,1,6,1,1
6,turtle,2,6,1,1
6,turtle,3,6,2,0
6,turtle,4,6,2,2
6,rabbit,5,6,1,1
6,turtle,0,7,0,1
6,turtle,1,7,2,1
6,turtle,2,7,2,1
6,turtle,3,7,1,0
6,turtle,4,7,1,2
6,rabbit,5,7,3,1
6,turtle,0,8,0,0
6,turtle,1,8,3,1
6,turtle,2,8,1,1
6,turtle,3,8,1,1
6,turtle,4,8,1,3
6,rabbit,5,8,1,1
6,turtle,0,9,1,0
6,turtle,1,9,3,2
6,turtle,2,9,1,0
6,turtle,3,9,2,1
7,turtle,0,1,2,1
7,turtle,1,1,1,0
7,turtle,2,1,1,0
7,turtle,3,1,0,1
7,turtle,4,1,1,0
7,rabbit,5,1,3,1
7,turtle,0,2,3,1
7,turtle,1,2,0,0
7,turtle,2,2,2,0
7,turtle,3,2,0,2
7,turtle,4,2,0,0
7,rabbit,5,2,1,1
7,turtle,0,3,3,2
7,turtle,1,3,1,0
7,turtle,2,3,1,0
7,turtle,3,3,0,1
7,turtle,4,3,1,0
7,rabbit,5,3,3,1
7,turtle,0,4,2,2
7,turtle,1,4,0,0
7,turtle,2,4,1,1
7,turtle,3,4,0,2
7,turtle,4,4,0,0
7,rabbit,5,4,3,3
7,turtle,0,5,3,2
7,turtle,1,5,1,0
7,turtle,2,5,1,0
7,turtle,3,5,0,1
7,turtle,4,5,0,1
7,rabbit,5,5,3,1
7,turtle,0,6,3,1
7,turtle,1,6,1,1
7,turtle,2,6,2,0
7,turtle,3,6,0,0
7,turtle,4,6,1,1
7,rabbit,5,6,1,1
7,turtle,0,7,3,2
7,turtle,1,7,0,1
7,turtle,2,7,1,0
7,turtle,3,7,1,0
7,turtle,4,7,0,1
7,rabbit,5,7,3,1
7,turtle,0,8,2,2
7,turtle,1,8,0,2
7,turtle,2,8,2,0
7,turtle,3,8,1,1
7,turtle,4,8,1,1
7,rabbit,5,8,1,1
7,turtle,0,9,3,2
7,turtle,1,9,0,1
7,turtle,2,9,1,0
7,turtle,3,9,0,1
7,turtle,4,9,0,1
7,rabbit,5,9,3,1
7,turtle,0,10,2,2
7,turtle,1,10,0,0
7,turtle,2,10,0,0
7,turtle,3,10,0,0
7,turtle,4,10,0,2
7,rabbit,5,10,3,3
7,turtle,0,11,2,3
7,turtle,1,11,1,0
7,turtle,2,11,1,0
7,turtle,3,11,0,1
7,turtle,4,11,0,1
7,rabbit,5,11,3,1
7,turtle,0,12,1,3
7,turtle,1,12,1,1
7,turtle,2,12,2,0
7,turtle,3,12,0,0
7,turtle,4,12,0,0
7,rabbit,5,12,3,3
8,turtle,0,1,0,1
8,turtle,1,1,2,1
8,turtle,2,1,1,0
8,turtle,3,1,1,0
8,turtle,4,1,1,0
