Iteration,Walker_Type,Walker_ID,Step,x0,x1,x2
1,rabbit,5,29,0,1,2
1,turtle,0,30,1,2,2
1,turtle,1,30,2,2,3
1,turtle,2,30,3,0,0
1,turtle,3,30,2,0,1
1,turtle,4,30,1,3,3
1,rabbit,5,30,0,3,2
1,turtle,0,31,1,2,3
1,turtle,1,31,2,3,3
1,turtle,2,31,3,1,0
1,turtle,3,31,2,0,0
1,turtle,4,31,2,3,3
1,rabbit,5,31,0,1,2
1,turtle,0,32,1,3,3
1,turtle,1,32,2,2,3
1,turtle,2,32,3,2,0
1,turtle,3,32,2,0,1
1,turtle,4,32,1,3,3
1,rabbit,5,32,0,3,2
1,turtle,0,33,1,3,2
1,turtle,1,33,2,3,3
1,turtle,2,33,2,2,0
1,turtle,3,33,1,0,1
1,turtle,4,33,1,2,3
1,rabbit,5,33,2,3,2
1,turtle,0,34,1,3,1
1,turtle,1,34,1,3,3
1,turtle,2,34,3,2,0
1,turtle,3,34,1,0,2
1,turtle,4,34,1,1,3
1,rabbit,5,34,0,3,2
1,turtle,0,35,1,3,2
1,turtle,1,35,1,2,3
1,turtle,2,35,3,1,0
1,turtle,3,35,0,0,2
1,turtle,4,35,1,1,2
1,rabbit,5,35,0,1,2
1,turtle,0,36,1,3,1
1,turtle,1,36,2,2,3
1,turtle,2,36,3,0,0
1,turtle,3,36,1,0,2
1,turtle,4,36,2,1,2
1,rabbit,5,36,0,3,2
1,turtle,0,37,0,3,1
1,turtle,1,37,1,2,3
1,turtle,2,37,3,1,0
1,turtle,3,37,0,0,2
2,turtle,0,1,2,3,1
2,turtle,1,1,2,3,1
2,turtle,2,1,2,3,1
2,turtle,3,1,2,3,1
2,turtle,4,1,1,3,0
2,rabbit,5,1,0,3,0
2,turtle,0,2,2,3,0
2,turtle,1,2,2,3,0
2,turtle,2,2,2,3,0
2,turtle,3,2,2,3,0
2,turtle,4,2,0,3,0
2,rabbit,5,2,0,3,2
2,turtle,0,3,1,3,0
2,turtle,1,3,1,3,0
2,turtle,2,3,2,3,1
2,turtle,3,3,1,3,0
2,turtle,4,3,1,3,0
2,rabbit,5,3,2,3,2
2,turtle,0,4,2,3,0
2,turtle,1,4,2,3,0
2,turtle,2,4,1,3,1
2,turtle,3,4,0,3,0
2,turtle,4,4,2,3,0
2,rabbit,5,4,0,3,2
2,turtle,0,5,1,3,0
2,turtle,1,5,1,3,0
2,turtle,2,5,2,3,1
2,turtle,3,5,0,3,1
2,turtle,4,5,1,3,0
2,rabbit,5,5,2,3,2
2,turtle,0,6,0,3,0
2,turtle,1,6,2,3,0
2,turtle,2,6,2,2,1
2,turtle,3,6,1,3,1
2,turtle,4,6,2,3,0
2,rabbit,5,6,0,3,2
2,turtle,0,7,1,3,0
2,turtle,1,7,2,3,1
2,turtle,2,7,2,2,2
2,turtle,3,7,2,3,1
2,turtle,4,7,2,3,1
2,rabbit,5,7,0,3,0
2,turtle,0,8,0,3,0
2,turtle,1,8,2,3,0
2,turtle,2,8,2,2,1
2,turtle,3,8,2,2,1
2,turtle,4,8,2,2,1
2,rabbit,5,8,2,3,0
2,turtle,0,9,1,3,0
2,turtle,1,9,2,3,1
2,turtle,2,9,1,2,1
2,turtle,3,9,1,2,1
2,turtle,4,9,2,2,0
2,rabbit,5,9,0,3,0
2,turtle,0,10,2,3,0
2,turtle,1,10,2,2,1
2,turtle,2,10,2,2,1
2,turtle,3,10,1,1,1
2,turtle,4,10,1,2,0
2,rabbit,5,10,2,3,0
2,turtle,0,11,2,3,1
2,turtle,1,11,2,2,2
2,turtle,2,11,2,2,0
2,turtle,3,11,0,1,1
2,turtle,4,11,2,2,0
2,rabbit,5,11,0,3,0
2,turtle,0,12,1,3,1
2,turtle,1,12,2,2,1
2,turtle,2,12,1,2,0
2,turtle,3,12,0,0,1
2,turtle,4,12,2,2,1
2,rabbit,5,12,0,3,2
2,turtle,0,13,1,3,2
2,turtle,1,13,2,2,2
2,turtle,2,13,1,2,1
2,turtle,3,13,0,1,1
2,turtle,4,13,1,2,1
2,rabbit,5,13,2,3,2
2,turtle,0,14,2,3,2
2,turtle,1,14,2,2,1
2,turtle,2,14,1,2,0
2,turtle,3,14,0,0,1
2,turtle,4,14,1,2,2
2,rabbit,5,14,0,3,2
2,turtle,0,15,1,3,2
2,turtle,1,15,2,3,1
2,turtle,2,15,2,2,0
2,turtle,3,15,0,1,1
2,turtle,4,15,1,3,2
2,rabbit,5,15,0,3,0
2,turtle,0,16,1,3,1
2,turtle,1,16,2,2,1
2,turtle,2,16,3,2,0
2,turtle,3,16,0,1,2
2,turtle,4,16,1,3,3
2,rabbit,5,16,2,3,0
2,turtle,0,17,1,3,2
2,turtle,1,17,1,2,1
2,turtle,2,17,2,2,0
2,turtle,3,17,0,1,3
2,turtle,4,17,2,3,3
2,rabbit,5,17,0,3,0
2,turtle,0,18,1,2,2
2,turtle,1,18,0,2,1
2,turtle,2,18,3,2,0
2,turtle,3,18,0,1,2
2,turtle,4,18,2,2,3
2,rabbit,5,18,0,3,2
2,turtle,0,19,1,2,1
2,turtle,1,19,0,1,1
2,turtle,2,19,2,2,0
2,turtle,3,19,0,0,2
2,turtle,4,19,2,3,3
2,rabbit,5,19,0,1,2
2,turtle,0,20,0,2,1
2,turtle,1,20,0,0,1
2,turtle,2,20,3,2,0
2,turtle,3,20,0,1,2
2,turtle,4,20,2,2,3
2,rabbit,5,20,2,1,2
2,turtle,0,21,0,1,1
2,turtle,1,21,0,0,0
2,turtle,2,21,3,1,0
2,turtle,3,21,0,1,3
2,turtle,4,21,2,3,3
3,turtle,0,1,2,3,1
3,turtle,1,1,1,3,0
3,turtle,2,1,1,3,0
3,turtle,3,1,1,3,0
3,turtle,4,1,1,3,0
3,rabbit,5,1,0,3,0
3,turtle,0,2,2,2,1
3,turtle,1,2,0,3,0
3,turtle,2,2,0,3,0
3,turtle,3,2,2,3,0
3,turtle,4,2,2,3,0
3,rabbit,5,2,2,3,0
3,turtle,0,3,2,2,0
3,turtle,1,3,1,3,0
3,turtle,2,3,0,3,1
3,turtle,3,3,2,3,1
3,turtle,4,3,2,3,1
3,rabbit,5,3,0,3,0
3,turtle,0,4,2,1,0
3,turtle,1,4,0,3,0
3,turtle,2,4,0,3,2
3,turtle,3,4,2,2,1
3,turtle,4,4,2,3,0
3,rabbit,5,4,0,3,2
3,turtle,0,5,2,0,0
3,turtle,1,5,1,3,0
3,turtle,2,5,0,3,1
3,turtle,3,5,2,3,1
3,turtle,4,5,1,3,0
3,rabbit,5,5,2,3,2
3,turtle,0,6,1,0,0
3,turtle,1,6,2,3,0
3,turtle,2,6,0,3,0
3,turtle,3,6,2,3,0
3,turtle,4,6,2,3,0
3,rabbit,5,6,0,3,2
3,turtle,0,7,2,0,0
3,turtle,1,7,2,3,1
3,turtle,2,7,0,3,1
3,turtle,3,7,1,3,0
3,turtle,4,7,2,3,1
3,rabbit,5,7,0,3,0
3,turtle,0,8,2,0,1
3,turtle,1,8,1,3,1
3,turtle,2,8,0,3,0
3,turtle,3,8,2,3,0
3,turtle,4,8,2,3,0
3,rabbit,5,8,2,3,0
3,turtle,0,9,2,1,1
3,turtle,1,9,0,3,1
3,turtle,2,9,1,3,0
3,turtle,3,9,2,3,1
3,turtle,4,9,2,3,1
3,rabbit,5,9,0,3,0
3,turtle,0,10,2,0,1
3,turtle,1,10,0,3,2
3,turtle,2,10,2,3,0
3,turtle,3,10,1,3,1
3,turtle,4,10,2,3,0
3,rabbit,5,10,2,3,0
3,turtle,0,11,2,1,1
3,turtle,1,11,0,3,3
3,turtle,2,11,1,3,0
3,turtle,3,11,1,3,2
3,turtle,4,11,1,3,0
3,rabbit,5,11,0,3,0
3,turtle,0,12,1,1,1
3,turtle,1,12,0,3,2
3,turtle,2,12,0,3,0
3,turtle,3,12,1,3,1
3,turtle,4,12,0,3,0
3,rabbit,5,12,2,3,0
3,turtle,0,13,0,1,1
3,turtle,1,13,0,2,2
3,turtle,2,13,0,3,1
3,turtle,3,13,1,3,2
3,turtle,4,13,0,3,1
3,rabbit,5,13,0,3,0
3,turtle,0,14,0,2,1
3,turtle,1,14,0,3,2
3,turtle,2,14,0,3,0
3,turtle,3,14,0,3,2
